EmployeeNumber,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Gender,HourlyRate,JobLevel,JobRole,MaritalStatus,MonthlyIncome,MonthlyRate,OverTime,PercentSalaryHike,PerformanceRating,StandardHours,StockOptionLevel,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
297,30,Travel_Rarely,1005,Research & Development,3,Female,88,1,Research Scientist,Single,2657,8556,Yes,11,3,80,0,5,2,0,4
298,41,Travel_Rarely,896,Sales,6,Female,75,3,Manager,Single,13591,14674,Yes,18,3,80,0,1,0,0,0
299,30,Travel_Frequently,334,Sales,26,Female,52,2,Sales Executive,Single,6696,22967,No,15,3,80,0,6,3,0,1
300,29,Travel_Rarely,992,Research & Development,1,Male,85,1,Research Scientist,Single,2058,19757,No,14,3,80,0,6,2,1,5
302,45,Non-Travel,1052,Sales,6,Female,57,3,Sales Executive,Single,8865,16840,No,12,3,80,0,19,7,12,8
303,54,Travel_Rarely,1147,Sales,3,Female,52,2,Sales Executive,Married,5940,17011,No,14,3,80,1,6,2,0,5
304,36,Travel_Rarely,1396,Research & Development,5,Male,62,2,Technician,Single,5914,9945,No,16,3,80,0,13,11,3,7
305,33,Travel_Rarely,147,Research & Development,4,Female,47,1,Research Scientist,Married,2622,13248,No,21,4,80,0,3,2,1,1
306,37,Travel_Frequently,663,Research & Development,11,Male,47,3,Research Director,Divorced,12185,10056,Yes,14,3,80,3,10,8,0,7
307,38,Travel_Rarely,119,Sales,3,Male,76,3,Sales Executive,Divorced,10609,9647,No,12,3,80,2,16,10,5,13
308,31,Non-Travel,979,Research & Development,1,Male,90,2,Marketing Director,Married,4345,4381,No,12,3,80,1,5,4,1,4
309,59,Travel_Rarely,142,Research & Development,3,Male,70,1,Research Scientist,Married,2177,8456,No,17,3,80,1,1,0,0,0
311,37,Travel_Frequently,319,Sales,4,Male,41,1,Sales Representative,Divorced,2793,2539,No,17,3,80,1,9,8,5,8
312,29,Travel_Frequently,1413,Sales,1,Female,42,3,Sales Executive,Married,7918,6599,No,14,3,80,1,11,10,4,1
314,35,Travel_Frequently,944,Sales,1,Female,92,3,Sales Executive,Single,8789,9096,No,14,3,80,0,10,7,0,8
315,29,Travel_Rarely,896,Research & Development,18,Male,86,1,Research Scientist,Single,2389,14961,Yes,13,3,80,0,4,3,0,1
316,52,Travel_Rarely,1323,Research & Development,2,Female,89,1,Technician,Single,3212,3300,No,15,3,80,0,2,2,2,2
319,42,Travel_Rarely,532,Research & Development,4,Male,58,5,Manager,Married,19232,4933,No,11,3,80,0,22,17,11,15
321,59,Travel_Rarely,818,Human Resources,6,Male,52,1,Human Resources,Married,2267,25657,No,17,3,80,0,2,2,2,2
323,50,Travel_Rarely,854,Sales,1,Female,68,5,Manager,Divorced,19517,24118,No,11,3,80,1,7,0,0,6
325,33,Travel_Rarely,813,Research & Development,14,Male,58,1,Technician,Married,2436,22149,Yes,13,3,80,1,5,4,0,4
327,43,Travel_Rarely,1034,Sales,16,Female,80,4,Manager,Married,16064,7744,Yes,22,4,80,1,17,13,1,9
328,33,Travel_Rarely,465,Research & Development,2,Female,39,1,Technician,Married,2707,21509,No,20,4,80,0,9,7,1,7
329,52,Non-Travel,771,Sales,2,Male,79,5,Manager,Single,19068,21030,Yes,18,3,80,0,33,7,15,12
330,32,Travel_Rarely,1401,Sales,4,Female,56,1,Sales Representative,Married,3931,20990,No,11,3,80,1,4,3,1,2
331,32,Travel_Rarely,515,Research & Development,1,Male,62,1,Technician,Single,3730,9571,Yes,14,3,80,0,3,2,1,2
332,39,Travel_Rarely,1431,Research & Development,1,Female,96,1,Technician,Divorced,2232,15417,No,14,3,80,3,3,2,1,2
333,32,Non-Travel,976,Sales,26,Male,100,2,Sales Executive,Married,4465,12069,No,18,3,80,0,3,2,2,2
334,41,Travel_Rarely,1411,Research & Development,19,Male,36,2,Research Scientist,Divorced,3072,19877,No,16,3,80,2,1,0,0,0
335,40,Travel_Rarely,1300,Research & Development,24,Male,62,2,Research Scientist,Divorced,3319,24447,No,17,3,80,2,9,8,4,7
336,45,Travel_Rarely,252,Research & Development,1,Male,70,5,Manager,Married,19202,15970,No,11,3,80,1,24,0,1,7
337,31,Travel_Frequently,1327,Research & Development,3,Male,73,3,Research Director,Divorced,13675,13523,No,12,3,80,1,2,2,2,2
338,33,Travel_Rarely,832,Research & Development,5,Female,63,1,Research Scientist,Married,2911,14776,No,13,3,80,1,2,2,0,2
339,34,Travel_Rarely,470,Research & Development,2,Male,84,2,Marketing Director,Married,5957,23687,No,13,3,80,1,11,9,5,9
340,37,Travel_Rarely,1017,Research & Development,1,Female,83,1,Research Scientist,Married,3920,18697,No,14,3,80,1,3,1,0,2
341,45,Travel_Frequently,1199,Research & Development,7,Male,77,2,Marketing Director,Married,6434,5118,No,17,3,80,1,3,2,0,2
342,37,Travel_Frequently,504,Research & Development,10,Male,61,3,Marketing Director,Divorced,10048,22573,No,11,3,80,2,1,0,0,0
343,39,Travel_Frequently,505,Research & Development,2,Female,64,3,Brand Representative,Single,10938,6420,No,25,4,80,0,19,6,11,8
346,29,Travel_Rarely,665,Research & Development,15,Male,60,1,Research Scientist,Single,2340,22673,No,19,3,80,0,6,5,1,5
347,42,Travel_Rarely,916,Research & Development,17,Female,82,2,Research Scientist,Single,6545,23016,Yes,13,3,80,0,3,2,0,2
349,29,Travel_Rarely,1247,Sales,20,Male,45,2,Sales Executive,Divorced,6931,10732,No,14,3,80,1,3,2,0,2
350,25,Travel_Rarely,685,Research & Development,1,Female,62,2,Marketing Director,Married,4898,7505,No,12,3,80,2,4,2,1,2
351,42,Travel_Rarely,269,Research & Development,2,Female,56,1,Technician,Divorced,2593,8007,Yes,11,3,80,1,9,6,7,8
352,40,Travel_Rarely,1416,Research & Development,2,Male,49,5,Research Director,Divorced,19436,5949,No,19,3,80,1,21,7,3,9
353,51,Travel_Rarely,833,Research & Development,1,Male,96,1,Research Scientist,Married,2723,23231,No,11,3,80,0,1,0,0,0
355,31,Travel_Frequently,307,Research & Development,29,Male,71,1,Technician,Single,3479,11652,No,11,3,80,0,5,4,1,4
359,32,Travel_Frequently,1311,Research & Development,7,Male,100,1,Technician,Married,2794,26062,No,20,4,80,0,5,1,0,3
361,38,Non-Travel,1327,Sales,2,Male,39,2,Sales Executive,Married,5249,19682,No,18,3,80,1,8,7,7,5
362,32,Travel_Rarely,128,Research & Development,2,Male,84,2,Technician,Single,2176,19737,No,13,3,80,0,6,2,0,4
363,46,Travel_Rarely,488,Sales,2,Female,75,4,Manager,Married,16872,14977,Yes,12,3,80,1,7,7,7,7
364,28,Travel_Rarely,529,Research & Development,2,Male,79,1,Technician,Single,3485,14935,No,11,3,80,0,0,0,0,0
366,29,Travel_Rarely,1210,Sales,2,Male,78,2,Sales Executive,Married,6644,3687,No,19,3,80,2,0,0,0,0
367,31,Travel_Rarely,1463,Research & Development,23,Male,64,2,Brand Representative,Married,5582,14408,No,21,4,80,1,9,0,7,8
369,25,Non-Travel,675,Research & Development,5,Male,85,2,Brand Representative,Divorced,4000,18384,No,12,3,80,2,6,3,1,5
372,45,Travel_Rarely,1385,Research & Development,20,Male,79,4,Brand Representative,Married,13496,7501,Yes,14,3,80,0,20,7,4,10
373,36,Travel_Rarely,1403,Research & Development,6,Male,47,1,Technician,Married,3210,20251,No,11,3,80,1,15,13,10,11
374,55,Travel_Rarely,452,Research & Development,1,Male,81,5,Manager,Single,19045,18938,Yes,14,3,80,0,36,10,4,13
376,47,Non-Travel,666,Research & Development,29,Male,88,3,Manager,Married,11849,10268,Yes,12,3,80,1,10,7,9,9
377,28,Travel_Rarely,1158,Research & Development,9,Male,94,1,Research Scientist,Married,2070,2613,No,23,4,80,1,5,2,0,4
378,37,Travel_Rarely,228,Sales,6,Male,98,2,Sales Executive,Married,6502,22825,No,14,3,80,1,5,4,0,1
379,21,Travel_Rarely,996,Research & Development,3,Male,100,1,Research Scientist,Single,3230,10531,No,17,3,80,0,3,2,1,0
380,37,Non-Travel,728,Research & Development,1,Female,80,3,Research Director,Divorced,13603,11677,Yes,18,3,80,2,5,2,0,2
381,35,Travel_Rarely,1315,Research & Development,22,Female,71,3,Manager,Divorced,11996,19100,No,18,3,80,1,7,7,6,2
382,38,Travel_Rarely,322,Sales,7,Female,44,2,Sales Executive,Divorced,5605,19191,Yes,24,4,80,1,8,0,7,7
384,26,Travel_Frequently,1479,Research & Development,1,Female,84,2,Marketing Director,Divorced,6397,26767,No,20,4,80,1,6,5,1,4
385,50,Travel_Rarely,797,Research & Development,4,Male,96,5,Research Director,Divorced,19144,15815,No,14,3,80,2,10,4,1,6
386,53,Travel_Rarely,1070,Research & Development,3,Male,45,4,Research Director,Married,17584,21016,Yes,16,3,80,3,5,3,1,3
387,42,Travel_Rarely,635,Sales,1,Male,99,2,Sales Executive,Married,4907,24532,No,25,4,80,0,20,16,11,6
388,29,Travel_Frequently,442,Sales,2,Male,44,2,Sales Executive,Single,4554,20260,No,18,3,80,0,10,7,0,9
389,55,Travel_Rarely,147,Research & Development,20,Male,37,2,Technician,Married,5415,15972,Yes,19,3,80,1,10,7,0,8
390,26,Travel_Frequently,496,Research & Development,11,Male,60,2,Brand Representative,Married,4741,22722,Yes,13,3,80,1,5,3,3,3
391,37,Travel_Rarely,1372,Research & Development,1,Female,42,1,Research Scientist,Single,2115,15881,No,12,3,80,0,17,12,5,7
392,44,Travel_Frequently,920,Research & Development,24,Male,43,1,Technician,Divorced,3161,19920,Yes,22,4,80,1,1,0,0,0
393,38,Travel_Rarely,688,Research & Development,23,Male,82,2,Brand Representative,Divorced,5745,18899,No,14,3,80,1,2,2,1,2
394,26,Travel_Rarely,1449,Research & Development,16,Male,45,1,Technician,Divorced,2373,14180,Yes,13,3,80,1,3,2,0,2
395,28,Travel_Rarely,1117,Research & Development,8,Female,66,1,Research Scientist,Single,3310,4488,No,21,4,80,0,5,3,0,2
396,49,Travel_Frequently,636,Research & Development,10,Female,35,5,Research Director,Single,18665,25594,Yes,11,3,80,0,3,2,1,2
397,36,Travel_Rarely,506,Research & Development,3,Male,30,2,Research Scientist,Single,4485,26285,No,12,3,80,0,8,0,7,7
399,31,Travel_Frequently,444,Sales,5,Female,84,1,Sales Representative,Divorced,2789,3909,No,11,3,80,1,2,2,2,2
401,26,Travel_Rarely,950,Sales,4,Male,48,2,Sales Executive,Single,5828,8450,Yes,12,3,80,0,8,7,7,4
403,37,Travel_Frequently,889,Research & Development,9,Male,53,1,Research Scientist,Married,2326,11411,Yes,12,3,80,3,4,2,1,2
404,42,Travel_Frequently,555,Sales,26,Female,77,4,Sales Executive,Married,13525,14864,No,14,3,80,1,20,4,4,8
405,18,Travel_Rarely,230,Research & Development,3,Male,54,1,Technician,Single,1420,25233,No,13,3,80,0,0,0,0,0
406,35,Travel_Rarely,1232,Sales,16,Male,96,3,Sales Executive,Married,8020,5100,No,15,3,80,2,11,9,6,9
407,36,Travel_Frequently,566,Research & Development,18,Male,81,1,Technician,Married,3688,7122,No,18,3,80,2,1,0,0,0
408,51,Travel_Rarely,1302,Research & Development,2,Male,84,2,Marketing Director,Divorced,5482,16321,No,18,3,80,1,4,1,1,2
410,41,Travel_Rarely,334,Sales,2,Male,88,4,Manager,Single,16015,15896,No,19,3,80,0,22,10,0,4
411,18,Travel_Rarely,812,Sales,10,Female,69,1,Sales Representative,Single,1200,9724,No,12,3,80,0,0,0,0,0
412,28,Travel_Rarely,1476,Research & Development,16,Male,68,2,Brand Representative,Single,5661,4824,No,19,3,80,0,8,3,0,7
416,31,Travel_Rarely,218,Sales,7,Male,100,2,Sales Executive,Married,6929,12241,No,11,3,80,1,8,7,7,7
417,39,Travel_Rarely,1132,Research & Development,1,Male,48,3,Brand Representative,Divorced,9613,10942,No,17,3,80,3,18,10,3,7
419,36,Non-Travel,1105,Research & Development,24,Female,47,2,Technician,Married,5674,6927,No,15,3,80,1,9,8,0,8
420,32,Travel_Rarely,906,Sales,7,Male,91,2,Sales Executive,Married,5484,16985,No,14,3,80,1,13,8,4,8
421,38,Travel_Rarely,849,Research & Development,25,Female,81,3,Research Director,Married,12061,26707,No,17,3,80,1,10,8,0,1
422,58,Non-Travel,390,Research & Development,1,Male,32,2,Brand Representative,Divorced,5660,17056,Yes,13,3,80,1,5,3,1,2
423,31,Travel_Rarely,691,Research & Development,5,Male,86,1,Research Scientist,Married,4821,10077,Yes,12,3,80,1,5,2,0,3
424,31,Travel_Rarely,106,Human Resources,2,Male,62,2,Human Resources,Married,6410,17822,No,12,3,80,0,2,2,1,0
425,45,Travel_Frequently,1249,Research & Development,7,Male,97,3,Technician,Divorced,5210,20308,No,18,3,80,1,24,9,9,11
426,31,Travel_Rarely,192,Research & Development,2,Male,32,1,Research Scientist,Divorced,2695,7747,Yes,18,3,80,1,2,2,2,2
428,33,Travel_Frequently,553,Research & Development,5,Female,74,3,Manager,Married,11878,23364,No,11,3,80,2,10,6,8,8
429,39,Travel_Rarely,117,Research & Development,10,Male,99,4,Manager,Married,17068,5355,Yes,14,3,80,0,21,9,11,10
430,43,Travel_Frequently,185,Research & Development,10,Female,33,1,Technician,Single,2455,10675,No,19,3,80,0,8,7,1,7
431,49,Travel_Rarely,1091,Research & Development,1,Female,90,4,Brand Representative,Single,13964,17810,Yes,12,3,80,0,7,1,0,7
433,52,Travel_Rarely,723,Research & Development,8,Male,85,2,Research Scientist,Married,4941,17747,No,15,3,80,0,8,2,7,7
434,27,Travel_Rarely,1220,Research & Development,5,Female,85,1,Research Scientist,Single,2478,20938,Yes,12,3,80,0,4,3,1,2
436,32,Travel_Rarely,588,Sales,8,Female,65,2,Sales Executive,Married,5228,24624,Yes,11,3,80,0,13,12,11,9
437,27,Travel_Rarely,1377,Sales,2,Male,74,2,Sales Executive,Single,4478,5242,Yes,11,3,80,0,5,4,0,4
438,31,Travel_Rarely,691,Sales,7,Male,73,2,Sales Executive,Divorced,7547,7143,No,12,3,80,3,7,7,1,7
439,32,Travel_Rarely,1018,Research & Development,2,Female,74,2,Research Scientist,Single,5055,10557,No,16,3,80,0,7,7,0,7
440,28,Travel_Rarely,1157,Research & Development,2,Male,84,1,Research Scientist,Married,3464,24737,Yes,13,3,80,0,3,2,2,2
441,30,Travel_Rarely,1275,Research & Development,28,Female,64,2,Research Scientist,Married,5775,11934,No,13,3,80,2,10,8,1,9
442,31,Travel_Frequently,798,Research & Development,7,Female,48,3,Marketing Director,Married,8943,14034,No,24,4,80,1,10,9,8,9
444,39,Travel_Frequently,672,Research & Development,7,Male,54,5,Manager,Married,19272,21141,No,15,3,80,1,21,9,13,3
445,39,Travel_Rarely,1162,Sales,3,Female,41,2,Sales Executive,Married,5238,17778,Yes,18,3,80,0,1,0,0,0
446,33,Travel_Frequently,508,Sales,10,Male,46,2,Sales Executive,Single,4682,4317,No,14,3,80,0,7,7,0,1
447,47,Travel_Rarely,1482,Research & Development,5,Male,42,5,Research Director,Married,18300,16375,No,11,3,80,1,3,2,1,1
448,43,Travel_Frequently,559,Research & Development,10,Female,82,2,Technician,Divorced,5257,6227,No,11,3,80,1,9,7,0,0
449,27,Non-Travel,210,Sales,1,Male,73,2,Sales Executive,Married,6349,22107,Yes,13,3,80,1,5,4,1,4
450,54,Travel_Frequently,928,Research & Development,20,Female,31,2,Research Scientist,Single,4869,16885,No,12,3,80,0,4,3,0,3
451,43,Travel_Rarely,1001,Research & Development,7,Female,43,3,Brand Representative,Married,9985,9262,No,16,3,80,1,1,0,0,0
452,45,Travel_Rarely,549,Research & Development,8,Male,75,2,Research Scientist,Married,3697,9278,No,14,3,80,2,10,9,9,8
453,40,Travel_Rarely,1124,Sales,1,Male,57,2,Sales Executive,Married,7457,13273,Yes,22,4,80,3,4,3,0,2
454,29,Travel_Rarely,318,Research & Development,8,Male,77,1,Technician,Married,2119,4759,Yes,11,3,80,0,7,7,0,7
455,29,Travel_Rarely,738,Research & Development,9,Male,30,1,Technician,Single,3983,7621,No,17,3,80,0,3,2,2,2
456,30,Travel_Rarely,570,Sales,5,Female,30,2,Sales Executive,Divorced,6118,5431,No,13,3,80,3,10,9,1,2
458,27,Travel_Rarely,1130,Sales,8,Female,56,2,Sales Executive,Married,6214,3415,No,18,3,80,1,8,7,0,7
460,37,Travel_Rarely,1192,Research & Development,5,Male,61,2,Marketing Director,Divorced,6347,23177,No,16,3,80,2,6,2,0,4
461,38,Travel_Rarely,343,Research & Development,15,Male,92,3,Research Director,Divorced,11510,15682,Yes,14,3,80,1,11,10,2,9
462,31,Travel_Rarely,1232,Research & Development,7,Female,39,3,Marketing Director,Single,7143,25713,Yes,14,3,80,0,11,9,4,10
463,29,Travel_Rarely,144,Sales,10,Female,39,2,Sales Executive,Divorced,8268,11866,Yes,14,3,80,2,7,7,1,7
464,35,Travel_Rarely,1296,Research & Development,5,Male,62,3,Marketing Director,Single,8095,18264,No,13,3,80,0,16,6,0,13
465,23,Travel_Rarely,1309,Research & Development,26,Male,83,1,Research Scientist,Divorced,2904,16092,No,12,3,80,2,4,2,0,2
466,41,Travel_Rarely,483,Research & Development,6,Male,95,2,Marketing Director,Single,6032,10110,Yes,15,3,80,0,5,4,1,2
467,47,Travel_Frequently,1309,Sales,4,Male,99,2,Sales Representative,Single,2976,25751,No,19,3,80,0,0,0,0,0
468,42,Travel_Rarely,810,Research & Development,23,Female,44,4,Research Director,Single,15992,15901,No,14,3,80,0,1,0,0,0
469,29,Non-Travel,746,Sales,2,Male,61,2,Sales Executive,Married,4649,16928,No,14,3,80,1,4,3,0,2
470,42,Travel_Rarely,544,Human Resources,2,Male,52,1,Human Resources,Divorced,2696,24017,Yes,11,3,80,1,3,2,1,0
471,32,Travel_Rarely,1062,Research & Development,2,Female,75,1,Technician,Married,2370,3956,No,13,3,80,1,8,0,0,7
473,48,Travel_Rarely,530,Sales,29,Female,91,3,Manager,Married,12504,23978,No,21,4,80,1,0,0,0,0
474,37,Travel_Rarely,1319,Research & Development,6,Male,51,2,Research Scientist,Divorced,5974,17001,Yes,13,3,80,2,7,7,6,7
475,30,Non-Travel,641,Sales,25,Female,85,2,Sales Executive,Married,4736,6069,Yes,12,3,80,1,2,2,2,2
476,26,Travel_Rarely,933,Sales,1,Male,57,2,Sales Executive,Married,5296,20156,No,17,3,80,1,8,7,7,7
477,42,Travel_Rarely,1332,Research & Development,2,Male,98,2,Brand Representative,Single,6781,17078,No,23,4,80,0,1,0,0,0
478,21,Travel_Frequently,756,Sales,1,Female,99,1,Sales Representative,Single,2174,9150,Yes,11,3,80,0,3,2,1,2
479,36,Non-Travel,845,Sales,1,Female,45,2,Sales Executive,Single,6653,15276,No,15,3,80,0,1,0,0,0
481,36,Travel_Frequently,541,Sales,3,Male,48,3,Sales Executive,Married,9699,7246,No,11,3,80,1,13,9,1,12
482,57,Travel_Rarely,593,Research & Development,1,Male,88,2,Brand Representative,Married,6755,2967,No,11,3,80,0,3,2,1,2
483,40,Travel_Rarely,1171,Research & Development,10,Female,46,1,Technician,Married,2213,22495,Yes,13,3,80,1,7,7,1,7
484,21,Non-Travel,895,Sales,9,Male,39,1,Sales Representative,Single,2610,2851,No,24,4,80,0,3,2,2,2
485,33,Travel_Rarely,350,Sales,5,Female,34,1,Sales Representative,Single,2851,9150,Yes,13,3,80,0,1,0,0,0
486,37,Travel_Rarely,921,Research & Development,10,Female,98,1,Technician,Married,3452,17663,No,20,4,80,1,5,4,0,3
487,46,Non-Travel,1144,Research & Development,7,Female,30,2,Marketing Director,Married,5258,16044,No,14,3,80,0,1,0,0,0
488,41,Travel_Frequently,143,Sales,4,Male,56,2,Sales Executive,Single,9355,9558,No,18,3,80,0,8,7,7,7
491,50,Travel_Rarely,1046,Research & Development,10,Male,100,3,Brand Representative,Single,10496,2755,No,15,3,80,0,4,3,1,3
492,40,Travel_Rarely,575,Sales,22,Male,68,2,Sales Executive,Married,6380,6110,Yes,12,3,80,2,6,4,1,0
493,31,Travel_Rarely,408,Research & Development,9,Male,42,1,Research Scientist,Single,2657,7551,Yes,16,3,80,0,2,2,2,2
494,21,Travel_Rarely,156,Sales,12,Female,90,1,Sales Representative,Single,2716,25422,No,15,3,80,0,1,0,0,0
495,29,Travel_Rarely,1283,Research & Development,23,Male,54,1,Research Scientist,Single,2201,18168,No,16,3,80,0,3,2,1,2
496,35,Travel_Rarely,755,Research & Development,9,Male,97,2,Brand Representative,Single,6540,19394,No,19,3,80,0,1,1,0,0
497,27,Travel_Rarely,1469,Research & Development,1,Male,82,1,Technician,Divorced,3816,17881,No,11,3,80,1,5,2,0,4
498,28,Travel_Rarely,304,Sales,9,Male,92,2,Sales Executive,Single,5253,20750,No,16,3,80,0,7,5,0,7
499,49,Travel_Rarely,1261,Research & Development,7,Male,31,3,Brand Representative,Single,10965,12066,No,24,4,80,0,5,2,0,0
500,51,Travel_Rarely,1178,Sales,14,Female,87,2,Sales Executive,Married,4936,14862,No,11,3,80,1,7,7,0,7
501,36,Travel_Rarely,329,Research & Development,2,Female,96,1,Research Scientist,Married,2543,11868,No,13,3,80,1,2,2,2,2
502,34,Non-Travel,1362,Sales,19,Male,67,2,Sales Executive,Single,5304,4652,Yes,13,3,80,0,5,2,0,4
505,55,Travel_Rarely,1311,Research & Development,2,Female,97,4,Manager,Single,16659,23258,Yes,13,3,80,0,5,4,1,2
507,24,Travel_Rarely,1371,Sales,10,Female,77,2,Sales Executive,Divorced,4260,5915,Yes,12,3,80,1,5,2,0,3
508,30,Travel_Rarely,202,Sales,2,Male,72,1,Sales Representative,Married,2476,17434,No,18,3,80,1,1,0,0,0
510,26,Travel_Frequently,575,Research & Development,3,Male,73,1,Research Scientist,Single,3102,6582,No,22,4,80,0,6,4,0,4
511,22,Travel_Rarely,253,Research & Development,11,Female,43,1,Research Scientist,Married,2244,24440,No,13,3,80,1,2,1,1,2
513,36,Travel_Rarely,164,Sales,2,Male,61,3,Sales Executive,Married,7596,3809,No,13,3,80,2,10,9,9,0
514,30,Travel_Frequently,464,Research & Development,4,Male,40,1,Research Scientist,Single,2285,3427,Yes,23,4,80,0,1,0,0,0
515,37,Travel_Rarely,1107,Research & Development,14,Female,95,1,Technician,Divorced,3034,26914,No,12,3,80,1,18,7,12,17
516,40,Travel_Rarely,759,Sales,2,Female,46,2,Sales Executive,Divorced,5715,22553,No,12,3,80,2,5,4,1,3
517,42,Travel_Rarely,201,Research & Development,1,Female,95,1,Technician,Divorced,2576,20490,No,16,3,80,1,5,2,1,2
518,37,Travel_Rarely,1305,Research & Development,10,Male,49,2,Marketing Director,Single,4197,21123,Yes,12,3,80,0,1,0,0,1
520,43,Travel_Rarely,982,Research & Development,12,Male,59,4,Research Director,Divorced,14336,4345,No,11,3,80,1,25,10,3,9
521,40,Travel_Rarely,555,Research & Development,2,Female,78,2,Technician,Married,3448,13436,No,22,4,80,1,1,0,0,0
522,54,Travel_Rarely,821,Research & Development,5,Male,86,5,Research Director,Married,19406,8509,No,11,3,80,1,4,2,1,2
523,34,Non-Travel,1381,Sales,4,Female,72,2,Sales Executive,Married,6538,12740,No,15,3,80,1,3,2,1,2
524,31,Travel_Rarely,480,Research & Development,7,Female,31,2,Marketing Director,Married,4306,4156,No,12,3,80,1,13,10,3,12
525,43,Travel_Frequently,313,Research & Development,21,Male,61,1,Technician,Married,2258,15238,No,20,4,80,1,3,2,1,2
526,43,Travel_Rarely,1473,Research & Development,8,Female,74,2,Brand Representative,Divorced,4522,2227,Yes,14,3,80,0,5,2,0,2
527,25,Travel_Rarely,891,Sales,4,Female,99,2,Sales Executive,Single,4487,12090,Yes,11,3,80,0,5,4,1,3
529,37,Non-Travel,1063,Research & Development,25,Female,72,2,Research Scientist,Married,4449,23866,Yes,15,3,80,2,13,11,10,7
530,31,Travel_Rarely,329,Research & Development,1,Male,98,1,Technician,Married,2218,16193,No,12,3,80,1,4,2,3,2
531,39,Travel_Frequently,1218,Research & Development,1,Male,52,5,Manager,Divorced,19197,8213,Yes,14,3,80,1,21,8,1,6
532,56,Travel_Frequently,906,Sales,6,Female,86,4,Sales Executive,Married,13212,18256,No,11,3,80,3,7,7,7,7
533,30,Travel_Rarely,1082,Sales,12,Female,83,2,Sales Executive,Single,6577,19558,No,11,3,80,0,5,4,4,4
534,41,Travel_Rarely,645,Sales,1,Male,49,3,Sales Executive,Married,8392,19566,No,16,3,80,1,10,7,0,7
536,28,Travel_Rarely,1300,Research & Development,17,Male,79,2,Technician,Divorced,4558,13535,No,12,3,80,1,10,0,1,8
538,25,Travel_Rarely,688,Research & Development,3,Male,91,1,Technician,Married,4031,9396,No,13,3,80,1,2,2,0,2
543,52,Travel_Rarely,319,Research & Development,3,Male,39,3,Marketing Director,Married,7969,19609,Yes,14,3,80,0,5,4,0,4
544,45,Travel_Rarely,192,Research & Development,10,Male,69,1,Research Scientist,Married,2654,9655,No,21,4,80,2,2,2,0,2
546,52,Travel_Rarely,1490,Research & Development,4,Female,30,4,Manager,Married,16555,10310,No,13,3,80,0,5,2,1,4
547,42,Travel_Frequently,532,Research & Development,29,Female,92,2,Research Scientist,Divorced,4556,12932,No,11,3,80,1,5,4,0,2
548,30,Travel_Rarely,317,Research & Development,2,Female,43,2,Marketing Director,Single,6091,24793,No,20,4,80,0,5,4,0,2
549,60,Travel_Rarely,422,Research & Development,7,Female,41,5,Manager,Married,19566,3854,No,11,3,80,0,29,8,11,10
550,46,Travel_Rarely,1485,Research & Development,18,Female,87,2,Marketing Director,Divorced,4810,26314,No,14,3,80,1,10,7,0,8
551,42,Travel_Frequently,1368,Research & Development,28,Female,88,2,Brand Representative,Married,4523,4386,No,11,3,80,3,6,5,0,4
554,24,Travel_Rarely,1448,Sales,1,Female,62,1,Sales Representative,Single,3202,21972,Yes,16,3,80,0,5,3,1,4
555,34,Travel_Frequently,296,Sales,6,Female,33,1,Sales Representative,Divorced,2351,12253,No,16,3,80,1,2,2,1,0
556,38,Travel_Frequently,1490,Research & Development,2,Male,42,1,Technician,Married,1702,12106,Yes,23,4,80,1,1,0,0,0
558,40,Travel_Rarely,1398,Sales,2,Female,79,5,Manager,Married,18041,13022,No,14,3,80,0,20,15,1,12
560,26,Travel_Rarely,1349,Research & Development,23,Female,90,1,Research Scientist,Divorced,2886,3032,No,22,4,80,2,3,2,0,2
562,30,Non-Travel,1400,Research & Development,3,Male,53,1,Technician,Married,2097,16734,No,15,3,80,1,5,3,1,4
564,29,Travel_Rarely,986,Research & Development,3,Male,93,3,Research Director,Married,11935,21526,No,18,3,80,0,10,2,0,7
565,29,Travel_Rarely,408,Research & Development,25,Female,71,1,Research Scientist,Married,2546,18300,No,16,3,80,0,2,2,1,1
566,19,Travel_Rarely,489,Human Resources,2,Male,52,1,Human Resources,Single,2564,18437,No,12,3,80,0,1,0,0,0
567,30,Non-Travel,1398,Sales,22,Female,69,3,Sales Executive,Married,8412,2890,No,11,3,80,0,9,8,7,8
568,57,Travel_Rarely,210,Sales,29,Male,56,4,Manager,Divorced,14118,22102,No,12,3,80,1,1,0,0,0
569,50,Travel_Rarely,1099,Research & Development,29,Male,88,4,Manager,Married,17046,9314,No,15,3,80,1,27,10,15,7
571,30,Non-Travel,1116,Research & Development,2,Female,49,1,Technician,Single,2564,7181,No,14,3,80,0,11,7,6,7
573,60,Travel_Frequently,1499,Sales,28,Female,80,3,Sales Executive,Married,10266,2845,No,19,3,80,0,18,13,13,11
574,47,Travel_Rarely,983,Research & Development,2,Female,65,2,Marketing Director,Divorced,5070,7389,No,13,3,80,3,5,0,0,4
575,46,Travel_Rarely,1009,Research & Development,2,Male,51,4,Research Director,Married,17861,2288,No,13,3,80,0,3,2,0,1
577,35,Travel_Rarely,144,Research & Development,22,Male,46,1,Technician,Single,4230,19225,No,15,3,80,0,5,4,4,3
